0226302679 (cloth : alk. paper) 		Latin American macroeconomic reforms : the second stage / edited by José Antonio González ... [et al.]. 		Chicago : University of Chicago Press, 2003. 	Central Library, Floors 4 or 5: Books		HG660.5 .L38 2003	HG  6605           L 38   2003			2
0262025426 (hard : alk. paper) 		New political economy of Russia / Erik Berglöf, Andrei Kounov, Julia Shvets, and Ksenia Yudaeva. 		Cambridge, Mass. : MIT Press, c2003. 	Central Library, Floors 4 or 5: Books		HC340.12 .N477 2003	HC  34012          N 477   2003			4
0312210566 		Same sex love and desire among women in the Middle Ages / edited by Francesca Canadé Sautman and Pamela Sheingorn. 	1st ed. 	New York : Palgrave, 2001. 	Central Library, Floors 4 or 5: Books		HQ75.5 .S25 2001	HQ   755           S 25   2001			4
0395914159 	Patent, Dorothy Hinshaw. 	Animals on the trail with Lewis and Clark / Dorothy Hinshaw Patent ; photos by William Muñoz. 		New York : Clarion Books, c2002. 	Central Library, Floor 2: Reading Resources Room		F592.7 .P37 2002	F  5927           P 37   2002			3
0395962978 	Jarvis, Ana C. 	Basic Spanish grammar / Ana C. Jarvis, Raquel Lebredo, Francisco Mena-Ayllón. 	6th ed. 	Boston, Mass. : Houghton Mifflin, c2000. 	Central Library, Floors 4 or 5: Books		PC4112 J29 2000	PC 4112            J 29   2000			2
0415265924 	Gallopín, Gilberto C. 	Global sustainability : bending the curve / Gilberto Gallopín and Paul D. Raskin. 		London ; New York, NY : Routledge, 2002. 	Central Library, Floors 4 or 5: Books		HC79.E5 G35 2002	HC   79            E 5   G 35   2002			1
041530377X 	Bulcke, D. van den. 	European Union direct investment in China : characteristics, challenges and perspectives / Daniel van den Bulcke, Haiyan Zhang and Maria do Céu Esteves. 		London ; New York : Routledge, 2003. 	Central Library, Floors 4 or 5: Books		HG5782 .B853 2003	HG 5782            B 853   2003			1
0444512888 	Vrabie, I. I. (Ioan I.), 1951- 	CÐ-semigroups and applications / Ioan I. Vrabie. 	1st ed. 	Amsterdam ; Boston : North Holland/Elsevier, 2003. 	Science & Engineering Library: Books		QA329 .V77 2003	QA  329            V 77   2003			4
0470847247 	Kunkel, Tobias. 	Streaming media : technologies, standards, applications / Tobias Künkel. 		Chichester, England : Wiley, c2003. 	Science & Engineering Library: Books	Bindery; due back August 30, 2003	TK5105.386 .K86 2003	TK 5105386         K 86   2003			4
0471498092 (alk. paper) 	French, Mark. 	Performance of nonlinear approximate adaptive controllers / Mark French, Csaba Szepesvári, Eric Rogers. 		Chichester ; Hoboken, NJ : Wiley, c2003. 	Science & Engineering Library: Books		TJ217 .F75 2003	TJ  217            F 75   2003			2
0534594093 (alk. paper) 	Harr, J. Scott. 	Constitutional law and the criminal justice system / J. Scott Harr, Kären M. Hess. 	2nd ed. 	Belmont, CA : Wadsworth/Thomson Learning, c2002. 	Central Library, Floors 4 or 5: Books		KF9619.3 .H36 2002	KF 96193           H 36   2002			2
